# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1769817200875000000,1769817260952000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1769817200875000000,1769817260952000000,0
jps.global.initialize.library.bridges.ms,1769817200875000000,1769817260952000000,0
jps.load.initial.state.ms,1769817200875000000,1769817260952000000,43
workspaceModel.moduleManagerBridge.build.module.graph.ms,1769817200875000000,1769817260952000000,0
jps.reload.project.entities.ms,1769817200875000000,1769817260952000000,0
jps.library.entities.serializer.save.entities.ms,1769817200875000000,1769817260952000000,0
jps.global.get.library.ms,1769817200875000000,1769817260952000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1769817200875000000,1769817260952000000,29
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1769817200875000000,1769817260952000000,0
jps.project.serializers.load.ms,1769817200875000000,1769817260952000000,33
workspaceModel.mutableEntityStorage.referrers.ms,1769817200875000000,1769817260952000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1769817200875000000,1769817260952000000,51
workspaceModel.mutableEntityStorage.replace.by.source.ms,1769817200875000000,1769817260952000000,10
jps.save.global.entities.ms,1769817200875000000,1769817260952000000,25
jps.save.changed.project.entities.ms,1769817200875000000,1769817260952000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1769817200875000000,1769817260952000000,11
workspaceModel.moduleBridge.facet.initialization.ms,1769817200875000000,1769817260952000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1769817200875000000,1769817260952000000,0
jps.artifact.entities.serializer.load.entities.ms,1769817200875000000,1769817260952000000,0
jps.facet.change.listener.before.change.events.ms,1769817200875000000,1769817260952000000,0
VFS.fileByIdCache.hits,1769817260952000000,1769817300337000000,0
VFS.invertedFileNameIndex.requests,1769817260952000000,1769817300337000000,0
VFS.fileByIdCache.misses,1769817260952000000,1769817300337000000,0
VFS.fileChildByName,1769817260952000000,1769817300337000000,47
cacheStateStorage.set.counter,1769817260952000000,1769817300337000000,5
cacheStateStorage.get.counter,1769817260952000000,1769817300337000000,0
cacheStateStorage.get.duration,1769817260952000000,1769817300337000000,0
cacheStateStorage.set.duration,1769817260952000000,1769817300337000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1769817260952000000,1769817300337000000,0
workspaceModel.pre.handlers.ms,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1769817260952000000,1769817300337000000,0
workspaceModel.updates.ms,1769817260952000000,1769817300337000000,0
workspaceModel.on.changed.ms,1769817260952000000,1769817300337000000,0
workspaceModel.init.bridges.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.init.ms,1769817260952000000,1769817300337000000,0
workspaceModel.updates.count,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValue.calculated.count,1769817260952000000,1769817300337000000,1
workspaceModel.cachedValue.from.cache.count,1769817260952000000,1769817300337000000,9
workspaceModel.update.unloaded.entities.ms,1769817260952000000,1769817300337000000,0
workspaceModel.on.before.changed.ms,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValueWithParameters.clear.count,1769817260952000000,1769817300337000000,0
workspaceModel.replace.project.model.ms,1769817260952000000,1769817300337000000,0
workspaceModel.initializing.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.instances.count,1769817260952000000,1769817300337000000,0
workspaceModel.to.snapshot.ms,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValue.total.get.count,1769817260952000000,1769817300337000000,10
workspaceModel.check.recursive.update.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1769817260952000000,1769817300337000000,0
workspaceModel.loading.total.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValue.clear.count,1769817260952000000,1769817300337000000,1
workspaceModel.collect.changes.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1769817260952000000,1769817300337000000,0
workspaceModel.full.replace.project.model.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1769817260952000000,1769817300337000000,0
workspaceModel.updates.precise.ms,1769817260952000000,1769817300337000000,0
workspaceModel.loading.from.cache.ms,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1769817260952000000,1769817300337000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1769817260952000000,1769817300337000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1769817260952000000,1769817300337000000,0
OS.loadAverage,1769817260952000000,1769817300337000000,1.37939453125
JVM.totalTimeToSafepointsMs,1769817260952000000,1769817300337000000,0
JVM.totalDirectByteBuffersBytes,1769817260952000000,1769817300337000000,44541702
JVM.usedNativeBytes,1769817260952000000,1769817300337000000,365987368
JVM.maxHeapBytes,1769817260952000000,1769817300337000000,4196401152
JVM.usedHeapBytes,1769817260952000000,1769817300337000000,439272352
JVM.totalBytesAllocated,1769817260952000000,1769817300337000000,40392608
